ID,Channel_Thickness,FREQFAC,Gelation_Time,Frr,Gel_Initiate_Time(WC),Gelant_Rate,K_Ratio,Oil_Viscosity,Gelant_Viscosity,SHEARTHIN,Profile Reduction
1,3.9810717,1.8928705,0.52829816,26896.8,0.7,1589.29,256470,251.18864,1683.089,0.362,0.799753386
2,100,0.47546724,2.1031943,41716,0.9,1776.05,500490,39.810717,588.143,0.527,0.760233072
3,15.848932,0.11943189,8.3729731,26896.8,0.75,2336.33,256470,63.095734,1865.58,0.461,0.517429481
4,10,0.18928683,5.2829877,41716,0.75,2336.33,12450,630.95734,770.634,0.362,0.681004906
5,63.095734,0.47546724,2.1031943,63944.8,0.95,842.25,12450,630.95734,1683.089,0.296,0.73629408
6,6.3095734,0.029999913,33.33343,41716,0.9,2336.33,195465,15.848932,1500.598,0.527,None
7,10,0.75356497,1.3270256,56535.2,0.85,1776.05,134460,25.118864,588.143,0.494,0.85260539
8,2.5118864,1.8928705,0.52829816,12077.6,0.95,842.25,134460,398.10717,405.652,0.461,0.706974261
9,100,0.07535641,13.270271,63944.8,0.925,1776.05,500490,158.48932,1135.616,0.428,0.886574186
10,63.095734,0.11943189,8.3729731,63944.8,0.775,2709.85,561495,15.848932,588.143,0.263,0.791180719
11,25.118864,0.029999913,33.33343,4668,0.825,1962.81,12450,100,770.634,0.23,0.516708272
12,25.118864,2.9999982,0.33333353,56535.2,0.8,2149.57,317475,630.95734,1135.616,0.263,0.875295347
13,1.5848932,0.47546724,2.1031943,71354.4,0.9,2709.85,73455,100,1865.58,0.527,0.847351079
14,39.810717,0.047546669,21.031968,78764,0.85,1215.77,73455,1000,223.161,0.428,0.999233666
15,6.3095734,0.18928683,5.2829877,49125.6,0.8,1402.53,195465,100,40.67,0.329,0.904733096
16,39.810717,0.029999913,33.33343,56535.2,0.925,1776.05,12450,158.48932,1865.58,0.395,None
17,3.9810717,0.07535641,13.270271,78764,0.7,1215.77,561495,25.118864,1500.598,0.23,0.787765613
18,39.810717,0.47546724,2.1031943,34306.4,0.8,1589.29,73455,39.810717,1500.598,0.494,0.910428537
19,3.9810717,0.11943189,8.3729731,71354.4,0.825,1589.29,500490,398.10717,405.652,0.461,0.823231085
20,6.3095734,0.47546724,2.1031943,78764,0.9,1962.81,561495,1000,1318.107,0.263,0.84029836
21,100,1.1943203,0.83729633,19487.2,0.725,2149.57,73455,25.118864,953.125,0.263,0.856081739
22,25.118864,2.9999982,0.33333353,56535.2,0.75,2709.85,500490,63.095734,1683.089,0.296,0.934679072
23,1,0.29999948,3.3333391,12077.6,0.875,2523.09,134460,630.95734,588.143,0.428,0.62114314
24,10,1.1943203,0.83729633,78764,0.775,1215.77,378480,15.848932,953.125,0.296,0.880405982
25,15.848932,0.11943189,8.3729731,71354.4,0.825,2523.09,378480,10,1135.616,0.527,0.853976363
26,63.095734,0.75356497,1.3270256,19487.2,0.725,2709.85,439485,251.18864,223.161,0.395,0.530750924
27,2.5118864,0.29999948,3.3333391,26896.8,0.9,1402.53,500490,10,223.161,0.395,0.605835017
28,25.118864,0.029999913,33.33343,41716,0.8,2709.85,561495,39.810717,953.125,0.362,None
29,63.095734,1.8928705,0.52829816,41716,0.875,1402.53,256470,398.10717,588.143,0.56,0.864079984
30,15.848932,0.29999948,3.3333391,49125.6,0.875,842.25,317475,10,223.161,0.56,0.834160847
31,25.118864,0.047546669,21.031968,34306.4,0.725,2336.33,134460,158.48932,1135.616,0.395,0.991744884
32,15.848932,2.9999982,0.33333353,78764,0.7,1962.81,622500,398.10717,1135.616,0.428,0.818666088
33,1,0.07535641,13.270271,71354.4,0.75,1029.01,622500,158.48932,770.634,0.395,0.125478518
34,3.9810717,1.8928705,0.52829816,34306.4,0.875,1029.01,622500,63.095734,1683.089,0.23,0.682172661
35,1,0.047546669,21.031968,19487.2,0.7,2149.57,378480,15.848932,1318.107,0.329,0.110689285
36,10,0.07535641,13.270271,12077.6,0.8,1402.53,317475,39.810717,1318.107,0.56,-0.010375331
37,15.848932,0.75356497,1.3270256,4668,0.875,1962.81,622500,15.848932,40.67,0.395,0.151225326
38,10,0.18928683,5.2829877,4668,0.725,1215.77,439485,158.48932,1318.107,0.362,-1.98E-02
39,6.3095734,0.047546669,21.031968,56535.2,0.85,2336.33,622500,1000,770.634,0.494,0.799459564
40,63.095734,2.9999982,0.33333353,19487.2,0.825,2149.57,378480,158.48932,1500.598,0.527,0.665735001
41,39.810717,0.75356497,1.3270256,56535.2,0.85,2523.09,561495,39.810717,1500.598,0.329,0.787065977
42,100,1.8928705,0.52829816,34306.4,0.85,842.25,134460,63.095734,588.143,0.527,0.89670333
43,3.9810717,0.29999948,3.3333391,49125.6,0.725,2149.57,73455,100,223.161,0.56,0.857322785
44,39.810717,0.47546724,2.1031943,4668,0.925,1402.53,195465,15.848932,953.125,0.263,0.423560922
45,100,1.1943203,0.83729633,71354.4,0.925,2523.09,12450,251.18864,40.67,0.428,0.763049857
46,6.3095734,0.29999948,3.3333391,26896.8,0.95,1215.77,317475,1000,1865.58,0.23,0.99970525
47,63.095734,2.9999982,0.33333353,49125.6,0.775,2709.85,561495,1000,770.634,0.494,0.764745836
48,3.9810717,2.9999982,0.33333353,78764,0.825,1962.81,195465,100,1683.089,0.461,0.935491587
49,2.5118864,0.18928683,5.2829877,12077.6,0.875,1215.77,256470,1000,405.652,0.494,0.395400646
50,10,0.07535641,13.270271,12077.6,0.95,1776.05,73455,251.18864,1135.616,0.428,0.280531946
51,6.3095734,0.18928683,5.2829877,78764,0.75,2523.09,12450,398.10717,1318.107,0.56,0.600560798
52,1,1.1943203,0.83729633,56535.2,0.9,1776.05,378480,25.118864,953.125,0.23,0.814983598
53,25.118864,1.8928705,0.52829816,19487.2,0.775,1589.29,439485,63.095734,1865.58,0.461,0.624807884
54,25.118864,0.11943189,8.3729731,41716,0.8,1589.29,378480,10,953.125,0.461,0.794934918
55,1.5848932,0.029999913,33.33343,34306.4,0.875,2336.33,500490,251.18864,1500.598,0.23,-0.000163953
56,39.810717,0.047546669,21.031968,19487.2,0.7,842.25,256470,251.18864,1318.107,0.56,0.742482251
57,100,1.1943203,0.83729633,34306.4,0.8,1029.01,317475,25.118864,405.652,0.428,0.804015402
58,6.3095734,0.75356497,1.3270256,49125.6,0.725,1215.77,195465,39.810717,1500.598,0.56,0.89569439
59,15.848932,0.18928683,5.2829877,4668,0.9,1589.29,439485,630.95734,588.143,0.23,9.74E-01
60,2.5118864,0.75356497,1.3270256,71354.4,0.85,2523.09,622500,39.810717,770.634,0.527,0.907914853
61,100,0.18928683,5.2829877,63944.8,0.95,2709.85,256470,398.10717,1683.089,0.329,0.897814024
62,2.5118864,0.29999948,3.3333391,26896.8,0.925,2523.09,561495,100,223.161,0.494,0.498257913
63,15.848932,0.047546669,21.031968,4668,0.95,2149.57,439485,630.95734,40.67,0.296,0.054923854
64,1,0.07535641,13.270271,26896.8,0.925,1029.01,500490,398.10717,770.634,0.461,0.001361419
65,1,0.47546724,2.1031943,12077.6,0.825,2149.57,439485,25.118864,1683.089,0.395,0.308739486
66,1.5848932,2.9999982,0.33333353,63944.8,0.775,2336.33,73455,10,405.652,0.362,0.782421173
67,1.5848932,0.11943189,8.3729731,4668,0.75,1029.01,195465,63.095734,223.161,0.329,-0.021756047
68,39.810717,1.1943203,0.83729633,26896.8,0.75,1402.53,378480,158.48932,405.652,0.296,7.36E-01
69,1.5848932,0.029999913,33.33343,41716,0.725,1962.81,622500,251.18864,40.67,0.362,0.004816092
70,1.5848932,0.07535641,13.270271,34306.4,0.825,842.25,317475,1000,1865.58,0.329,0.030904725
71,2.5118864,0.75356497,1.3270256,63944.8,0.95,1589.29,195465,10,40.67,0.329,0.845356677
72,10,0.11943189,8.3729731,19487.2,0.775,1962.81,317475,25.118864,953.125,0.263,0.529127164
73,3.9810717,1.8928705,0.52829816,49125.6,0.925,1776.05,256470,10,1865.58,0.296,0.82072098
74,63.095734,0.029999913,33.33343,12077.6,0.85,1402.53,12450,15.848932,405.652,0.263,0.453148573
75,2.5118864,0.047546669,21.031968,71354.4,0.775,1029.01,134460,63.095734,1135.616,0.494,0.916026509
76,1.5848932,1.1943203,0.83729633,63944.8,0.7,842.25,439485,100,1318.107,0.296,0.846425437
77,2.3528034,2.1533245,0.46439819,63307.775,0.81676429,1466.0628,203755.98,987.22058,1356.5868,0.45142191,0.920353185
78,54.789331,1.61262,0.62010889,32892.489,0.71245938,1909.2041,20211.683,11.233643,1628.9538,0.51315165,0.55875558
79,2.1230477,0.95481576,1.0473225,11944.626,0.89346118,1109.0237,583435.24,70.945001,708.32101,0.53396571,0.408872322
80,54.717671,0.30149589,3.3167948,8573.473,0.92064901,1854.0873,196988.91,413.42763,1150.1703,0.36823899,0.594919147
81,95.098507,0.39056761,2.5603762,75415.376,0.82726649,1869.2786,420812.84,685.90821,1303.5544,0.25538835,8.71E-01
82,7.8370251,1.5790642,0.63328647,30586.796,0.91507933,2631.658,557640.69,167.17287,1246.9281,0.49947369,0.665350589
83,43.148708,0.19999384,5.000154,62844.566,0.80638712,1834.1183,500476.37,77.455757,1698.7057,0.3937218,0.589884213
84,17.239886,2.8224409,0.35430326,28632.188,0.89323563,2237.9813,287844.5,11.149937,1433.2536,0.38443092,0.771791359
85,63.095734,0.75356497,1.3270256,19487.2,0.8,1029.01,195465,100,405.652,0.428,0.795614921
86,15.848932,0.029999913,33.33343,41716,0.8,2709.85,500490,100,1865.58,0.362,None
,,,,,,,,,,,
,,,,,,,,,,,
